Sample	Rawname	[8871] 2-hydroxypyridine [6.519] Results	[107689] L-(+) lactic acid [6.851] Results	[757] glycolic acid [7.049] Results	[5950] L-alanine 1 [7.4748] Results	[971] oxalic acid [7.883] Results	[6287] L-valine 2 [9.151] Results	[5951] L-serine 1 [9.706] Results	[6106] L-leucine 2 [9.945] Results	[1004] phosphoric acid [9.966] Results	[791] DL-isoleucine 2 [10.225] Results	[145742] L-proline 2 [10.321] Results	[750] glycine [10.456] Results	[1110] succinic acid [10.509] Results	[439194] glyceric acid [10.735] Results	[760] glyoxylic acid [10.813] Results	[638129] citraconic acid [10.792] Results	[444972] fumaric acid [10.94] Results	[5951] L-serine 2 [11.174] Results	[5950] L-alanine 2 [11.182] Results	[439742] beta-cyano-L-alanine [11.288] Results	[6288] L-threonine 2 [11.464] Results	[239] Beta- alanine  1 [12.044] Results	[12647] L-homoserine 2 [12.359] Results	[92824] D-malic acid [12.794] Results	[5960] aspartic acid 2 [13.207] Results	[7405] L-pyroglutamic acid [13.218] Results	[119] gamma-aminobutyric acid (GABA) [13.326] Results	[5460407] threonic acid [13.652] Results	[51] alpha ketoglutaric acid [13.859] Results	[236] L-asparagine 1 [14.496] Results	[33032] L-glutamic acid 2 [14.398] Results	[236] L-asparagine 1 [14.496] Results.1	[428] 1,3-diaminopropane 1 [14.708] Results	[236] L-asparagine 2 [14.984] Results	[827] ribitol [15.66] Results	[754] glycerol 1-phosphate [16.056] Results	[738] L-glutamine 3 [16.092] Results	[8742] shikimic acid [16.433] Results	[311] citric acid [16.615] Results	[94214] methyl-beta-D-galactopyranoside   [16.935] Results	[190] adenine 1 [17.066] Results	[6508] quinic acid [17.076] Results	[5984] fructose 2 [17.288] Results	[448388] D-allose 1 [17.278] Results	[24749] D-glucose 1 [17.426] Results	[5962] L-lysine 2 [17.643] Results	[448388] D-allose 2 [17.521] Results	[6057] tyrosine 2 [17.871] Results	[6251] D-mannitol [17.81] Results	[128869] galactonic acid 2 [18.504] Results	[985] palmitic acid [18.846] Results	[204] allantoin 3 [19.167] Results	[445858] ferulic acid [19.312] Results	[101713] glucoheptonic acid 2 [19.615] Results	[892] myo-inositol [19.354] Results	[5281] stearic acid [20.675] Results	[439958] D-glucose-6-phosphate 2 [21.558] Results	[5202] serotonin 1 [22.532] Results	[5202] serotonin 2 [22.767] Results	[60961] adenosine [23.825] Results	[5988] Sucrose [23.988] Results	[6255] maltose 1 [24.702] Results	[16219560] lactobionic acid 1 [24.583] Results	[441422] beta-gentiobiose 2 [25.42] Results	[439451] galactinol 2 [26.479] Results
S4A35	251118_004			0.0022876221095585506	1.1241807839742797	7.934277235068628	0.08850624459008286	0.0960492147891678	0.06238407320390751	36.746784963521705	0.031439347100284405	0.06869049091133919	0.9041053542722889	0.11465932978854952	0.1978483986645233	0.03567453938419686	0.012334611104241375	0.05756151848645975	1.480617039693335	0.4002102139235811	0.14835538518610114	0.23819092370471126	0.046741684184493634	0.08955731420798813	4.484141214294547	6.49211697786571	3.2951341659453446	0.08151972301224188	0.24619760108816618	0.08315815506368246	0.14813898850006182	4.650148386298999	0.13908124149870163	0.13425868678125386	15.322121924075677	1.0	0.4607703722023	0.25460615803140846	0.14362557190552738	1.859774947446519	0.1347842215902065	0.06124026214912823	0.3625881043650303	0.7210646716953135	0.6070854457771733	0.894522072461976	0.05873624335353036	0.15391987139854088	0.12606652652405095	0.9818226783726969	0.20715345616421418	0.8009150488438235	0.0520588598986027	0.08828984790404353	0.3010387040929888	2.1644923952021764	0.5879188821565475	0.11082601706442438	0.09515271423271918	0.07283294175837764	0.41563620625695563	56.21141956226042	0.5677630765425993	0.032737727216520345	0.019135649808334362	0.09629652528749845
S4A9	251118_005		0.006764783526927138	0.0028049102428722283	0.4699379619852165	0.7833949313621964	0.1260889651531151	0.039730728616684266	0.17037354804646251	30.837183210137276	0.07754751847940866	0.13674762407602956	0.4676280359028511	0.12846488912354806	0.19030491024287222	0.03243796198521647	0.012671594508975714	0.047551478352692717	1.4042370644139388	0.3991552270327349	0.12780491024287222	0.3895525343189018	0.0839163146779303	0.05025739176346357	2.0263001583949314	8.47459081309398	3.6741354276663145	0.13836457233368532	0.3073521647307286	0.027257127771911298	0.23049762407602956	8.941723864836325	0.38466869060190073	0.1376715945089757	18.207761351636748	1.0	0.5106586589229145	0.1650607180570222	0.15565601900739176	4.402356124604013	0.17360744456177402	0.056923178458289335	0.5876121964097148	0.49584213305174235	0.5253101900739177	0.9894733368532207	0.13569165786694826	0.1526861140443506	0.24868004223864837	0.9218255015839493	0.17423442449841606	0.782503959873284	0.047881467793030624	0.1660176874340021	0.36064545934530096	3.2430042238648364	0.5552732312565998	0.05266631467793031	0.10411166842661035	0.08071541710665259	0.345960929250264	45.6226570749736	1.2608236536430835	0.10153775079197466	0.02009635691657867	0.19607972544878563
S4A24	251118_006	0.02186878727634195	0.02416271601162257	0.004511393179385227	0.9075546719681908	9.56858846918489	0.15029056430646887	0.05161339654381404	0.06040679002905643	37.489944945710356	0.032803180914512925	0.07199113014222358	0.7402890350206454	0.1834760666768619	0.2727863587704542	0.05260743232910231	0.018733751338125097	0.06908548707753479	2.423956262425447	0.5341795381556813	0.10487077534791253	0.4047637253402661	0.033720752408625175	0.11404649028903502	4.502179232298516	9.343324667380333	5.587895702706836	0.18110567365040525	0.3425217923229852	0.09886832849059489	0.18576999541214254	4.545228628230617	0.21387062241933016	0.10907631136259367	11.468382015598715	1.0	0.6093057042361217	0.768198501299893	0.2605520721822909	1.8623642758831627	0.12245756231839731	0.14696436764031198	1.7577993576999542	1.069811897843707	0.3702400978742927	1.31629454044961	0.04710200336442881	0.19276647805474842	0.06962073711576694	0.7475149105367793	0.19177244226946016	0.779285823520416	0.023130448080746293	0.10089463220675944	0.3539532038538003	3.661951368710812	0.5909542743538767	0.10207982871998776	0.1187490441963603	0.10387673956262425	0.45664474690319623	54.66409236886374	0.6539990824285059	0.02940051995718	0.01525462608961615	0.2235433552530968
S4A39	251118_007			0.0019078947368421052	0.8155592105263157	6.138421052631579	0.11430921052631579	0.040197368421052634	0.0855921052631579	33.38236842105263	0.05858552631578948	0.09759868421052631	1.3441447368421053	0.09098684210526316	0.15203947368421053	0.03394736842105263	0.014967105263157894	0.042105263157894736	1.3837171052631578	0.44046052631578947	0.08608552631578947	0.31108552631578945	0.05855263157894737	0.09536184210526316	0.8392434210526316	2.947171052631579	3.4202631578947367	0.13664473684210526	0.18223684210526317	0.020394736842105264	0.17220394736842104	7.469901315789474	0.2030921052631579	0.09322368421052632	8.77078947368421	1.0	0.22769736842105262	0.09398026315789473	0.17319078947368421	1.1882565789473685	0.10575657894736842	0.9061513157894737	0.6399013157894737	0.4062828947368421	0.31700657894736844	0.40210526315789474	0.06421052631578947	0.0900328947368421	0.11029605263157895	0.5531907894736842	0.11598684210526315	0.847171052631579	0.010493421052631579	0.06013157894736842	0.3267763157894737	2.873651315789474	0.4924342105263158	0.10546052631578948	0.03036184210526316	0.02305921052631579	0.14921052631578946	46.594144736842104	0.4401644736842105	0.056875	0.01638157894736842	0.06361842105263157
S2B2	251118_008			0.004832696644727758	1.4502692502416348	0.6465687853822433	0.13849127813319834	0.03576195517098541	0.1682238689188567	51.30666912136972	0.07658673539835228	0.15381783034933494	0.9289823721636673	0.1581902701707553	0.09449072582501035	0.057854282689740875	0.008975008054494409	0.0565195379021494	1.3681134072812628	0.8455378100980347	0.06554057163897455	0.3375523542136512	0.06664518801491232	0.04087080590969761	1.8252404841901781	1.610070419293966	3.3569751921572237	0.07244442398858562	0.16293091545082156	0.11124407419339992	0.16122796520458416	5.040824780227367	0.14281769227228794	0.11414369218023657	5.121737929764809	1.0	0.4280388456758871	0.16767156073088785	0.15354167625535048	1.736733097068164	0.24591522069314678	0.0265568187048373	0.4602568233074055	0.2959451373866618	0.5067887881437843	0.6400331384912782	0.07281262944723156	0.12136972430616284	0.23008238597137204	0.9130574860772311	0.17255028305794634	1.240346113131127	0.023933354811985087	0.06351544161642196	0.4218714042435679	3.017627836332674	0.8589773093386109	0.08376674184194781	0.05518479311455792	0.11124407419339992	0.25801997514613156	56.308786302756936	0.42665807520596494	0.034427210383393934	0.014590141298844755	0.07934827633819672
S2B15	251118_009	0.029176836032837807	0.02329709341025072		5.2692108571851195	7.006434435322831	0.18474964869462318	0.04788846978773759	0.3733081872642556	45.12646993565565	0.1291694401301679	0.4109533318541528	0.48062273500480734	0.18038606611936986	0.09644257081576807	0.04444937504622439	0.010428222764588418	0.16307965387175505	2.4454552178093336	2.7861104947858886	0.013608460912654389	0.23260113896901116	0.05273278603653576	0.032985725907847055	5.953553731232897	3.949818800384587	8.204718585903409	0.08523777827083795	0.1961763183196509	0.06759855040307669	0.03897640707048295	5.483876932179572	0.005916722135936691	0.10994009318837364	0.3727534945640115	1.0	0.2559352118926115	0.4350639745580948	0.08361067968345537	4.253013830337993	0.12476887804156497	0.0231121958435027	0.12365949264107684	1.4375416019525182	0.3396568301161157	4.201427409215294	0.07599289993343687	0.5943717180681902	0.2714666074994453	0.9707122254271133	0.11519118408401745	0.7094519636121589	0.01490274387989054	0.01386731750610162	0.2937652540492567	1.6576066858960137	0.4657199911249168	0.07395902669920863	0.03986391539087346	0.07159233784483396	0.17498705717032764	51.74173507876636	0.6194808076325715	0.1380445233340729	0.012979809185711117	0.18441683307447673
S4A3	251118_010		0.025302045462891557	0.0035253938525944693	3.122140207851346	5.7987954904336965	0.258639051081488	0.0342624215049025	0.15699019499834746	32.31937864933348	0.13829826300907055	0.14270500532481364	2.238771987808013	0.1766369211560354	0.14795637325107414	0.03701663545224193	0.01692923506297969	0.04759281701002534	2.035510998494363	1.0567735301678234	0.12628989019867062	0.3613528698909331	0.05677353016782344	0.1066431640409827	2.712533509603026	2.155925232272043	3.8978003011273916	0.04513238588373545	0.26238478204986965	0.04807021409423084	0.38544306121699534	4.4087987954904335	0.49109470823693585	0.1211119679776725	18.40189489919577	1.0	0.37236972568029086	0.1940802761558518	0.13576438617751826	2.2014982923873525	0.10969116080937168	0.0786603503360141	0.43597370643751604	0.5036172009841724	0.3122911387756601	0.5922661672358709	0.0907421688516764	0.11619110572509272	0.2770004773970842	0.6447064007932136	0.19657743013477286	0.7731262164444934	0.05221989644155558	0.1428151738827072	0.2968675406705593	2.6170173699092945	0.41669420880614005	0.06459549777826741	0.12232382211450185	0.21273548529249753	0.5271198266681356	50.13293672652492	0.9011788035694612	0.01861848628401454	0.007748521905181594	0.1280158642723367
S2B11	251118_011		0.003949661181026138	0.0018586640851887706	0.4990900290416263	0.521161665053243	0.06203291384317522	0.014675701839303001	0.049370764762826716	46.0962633107454	0.014636979670861569	0.05088092933204259	0.43167473378509197	0.09250726040658278	0.3308809293320426	0.03980638915779284	0.028383349467570183	0.0699322362052275	1.8009680542110358	0.5967860600193611	0.017347531461761857	0.20979670861568248	0.029545014520813165	0.0420135527589545	2.4792255566311714	5.5376960309777346	3.8863117134559535	0.059709583736689255	0.15256534365924493	0.13014520813165537	0.04081316553727009	3.4912294288480155	0.0423620522749274	0.08453049370764763	0.7098160696999032	1.0	0.26466602129719263	0.08464666021297193	0.13297192642787997	0.9797870280735721	0.12971926427879962	0.019090029041626332	1.0248983543078412	0.19031945788964183	0.33537270087124876	0.41246853823814134	0.024162633107454017	0.07969022265246854	0.04205227492739593	0.7633688286544047	0.154540174249758	0.8968441432720232	0.011345595353339786	0.02032913843175218	0.35519845111326237	1.7091190706679573	0.5162826718296225	0.08491771539206196	0.0336108422071636	0.0570377541142304	0.1892352371732817	51.05912875121007	0.41355275895450144	0.024356243949661183	0.017192642787996128	0.185324298160697
S4A4	251118_012	0.027766599597585512	0.008410462776659959	0.0035814889336016095	4.508209255533199	10.506961770623743	0.25569416498993963	0.021287726358148892	0.33283702213279676	37.91879275653923	0.15356136820925553	0.2283702213279678	1.8574245472837023	0.17851106639839034	0.22346076458752515	0.11150905432595573	0.013078470824949699	0.06655935613682093	1.6329979879275653	1.6192354124748491	0.13541247484909458	0.3107042253521127	0.04338028169014085	0.09062374245472837	4.669859154929577	2.615774647887324	4.22841046277666	0.049577464788732394	0.34414486921529175	0.06338028169014084	0.3619718309859155	4.2991549295774645	0.27396378269617705	0.11287726358148893	12.832877263581489	1.0	0.3017706237424547	0.1505835010060362	0.0993158953722334	2.5361368209255533	0.12583501006036218	0.0904225352112676	0.36466800804828975	0.8155734406438632	0.4298993963782696	0.9235412474849095	0.09525150905432596	0.15714285714285714	0.29412474849094566	0.6948490945674044	0.1911066398390342	1.0175855130784708	0.03243460764587525	0.1786317907444668	0.454486921529175	3.4620120724346077	0.6704225352112676		0.08233400402414487	0.08772635814889336	0.6894567404426559	68.04434607645875	0.5216901408450704	0.020724346076458754	0.016056338028169016	0.1185513078470825
S2B19	251118_013		0.021804585911391988	0.005889554312940476	3.493432154319558	10.438573272011382	0.3431823445720147	0.046785560665718165	0.36389504681864804	33.0997584620984	0.2690996922873308	0.5657280878800913	5.457697779836549	0.1561724514442643	0.12947093273334878	0.04106144327168051	0.015551070376865301	0.08553088707275916	3.8023028819111273	1.7873142970585316	0.14786751811534263	0.5497137941302981	0.11643450352380637	0.14316910961850246	2.5424345696985737	3.4558448863448366	8.58726797472124	0.06002051417794395	0.20567117757998876	0.05138470701121663	0.7747741786056976	10.06915263210138	0.14181252688349932	0.14799986765046488	18.797505211262944	1.0	0.41838996790523775	0.4908182510008934	0.1653045693677001	2.4898918042550378	0.23574760943652184	0.03159845151043907	0.7152499751844622	0.4932336300168746	0.3516527148198392	0.9371670582007081	0.18816795156007016	0.14280514839691624	0.6286272044469444	0.8569963273004003	0.15703272342255897	0.993084736789862	0.05323760050292824	0.07345399199285313	0.3642920954240148	3.6064255699301855	0.7393706779604937	0.07361942891175595	0.1677199483836813	0.2900109188366476	0.37636899050392086	46.06091387354002	0.4492274095887238	0.07358634152797539	0.017139264798332395	0.06405717499917282
