Sample	Rawname	[757] glycolic acid [7.049] Results	[5950] L-alanine 1 [7.4748] Results	[971] oxalic acid [7.883] Results	[1004] phosphoric acid [9.966] Results	[750] glycine [10.456] Results	[439194] glyceric acid [10.735] Results	[5951] L-serine 2 [11.174] Results	[5950] L-alanine 2 [11.182] Results	[439742] beta-cyano-L-alanine [11.288] Results	[6288] L-threonine 2 [11.464] Results	[239] Beta- alanine  1 [12.044] Results	[92824] D-malic acid [12.794] Results	[649] 5,6-dihydrouracil 2 [12.773] Results	[338] salicylic acid [13.075] Results	[5960] aspartic acid 2 [13.207] Results	[7405] L-pyroglutamic acid [13.218] Results	[119] gamma-aminobutyric acid (GABA) [13.326] Results	[5460407] threonic acid [13.652] Results	[51] alpha ketoglutaric acid [13.859] Results	[236] L-asparagine 1 [14.496] Results	[33032] L-glutamic acid 2 [14.398] Results	[135] 4-hydroxybenzoic acid [14.505] Results	[428] 1,3-diaminopropane 1 [14.708] Results	[236] L-asparagine 2 [14.984] Results	[827] ribitol [15.66] Results	[754] glycerol 1-phosphate [16.056] Results	[738] L-glutamine 3 [16.092] Results	[8742] shikimic acid [16.433] Results	[311] citric acid [16.615] Results	[835] dehydroascorbic acid  1 [16.863] Results	[94214] methyl-beta-D-galactopyranoside   [16.935] Results	[6508] quinic acid [17.076] Results	[5984] fructose 1 [17.288] Results	[5984] fructose 2 [17.288] Results	[24749] D-glucose 1 [17.426] Results	[5962] L-lysine 2 [17.643] Results	[24749] D-glucose 2 [17.625] Results	[6057] tyrosine 2 [17.871] Results	[5780] D-sorbitol [17.898] Results	[128869] galactonic acid 2 [18.504] Results	[985] palmitic acid [18.846] Results	[445858] ferulic acid [19.312] Results	[439184] ribulose-5-phosphate 3 [19.603] Results	[892] myo-inositol [19.354] Results	[5281] stearic acid [20.675] Results	[439958] D-glucose-6-phosphate 2 [21.558] Results	[60961] adenosine [23.825] Results	[5988] Sucrose [23.988] Results	[7427] D-(+) trehalose [24.752] Results	[6255] maltose  2 [24.915] Results	[439451] galactinol 2 [26.479] Results
S5A29	251124_083	0.45588235294117646		1.2058823529411764	11.014705882352942	1.4705882352941178	0.3602941176470588	0.17647058823529413	2.911764705882353		0.1323529411764706		3.3088235294117645		0.1323529411764706		3.198529411764706	0.1323529411764706	0.4632352941176471	0.14705882352941177	1.0808823529411764	0.6176470588235294		0.6764705882352942	0.14705882352941177	1.0	0.1323529411764706	0.2647058823529412	0.07352941176470588	1.5661764705882353	0.11029411764705882	0.15441176470588236	0.40441176470588236	0.6691176470588235	0.5441176470588235	0.9485294117647058	0.20588235294117646		0.625		0.13970588235294118	0.3602941176470588	0.18382352941176472	0.47794117647058826	1.9264705882352942	0.49264705882352944	0.2647058823529412	0.5661764705882353	11.617647058823529	0.11764705882352941	0.5882352941176471	0.9558823529411765
S5A9	251124_084	0.3625		2.05	17.575	1.4125		0.4125	2.1	0.2	0.3625	0.25	2.575	0.2125			5.0625	0.15	1.425	0.4375	0.8375	0.3125	0.125	0.6375	0.4625	1.0	0.3125	0.35	0.275	3.725		0.625	0.2375		0.2375	1.1625	0.3		0.1875	0.275		2.0625	0.4125	1.125	4.6125	1.175	0.6	0.5875	15.95	0.6375	0.2625	1.025
S4B27	251124_085	0.23170731707317074		1.646341463414634	25.451219512195124	1.2560975609756098	0.6463414634146342	0.34146341463414637	0.7560975609756098		0.10975609756097561		1.8902439024390243		0.2073170731707317	0.9146341463414634	5.621951219512195	0.3170731707317073	0.35365853658536583	0.524390243902439	0.9390243902439024	0.25609756097560976	0.2926829268292683	0.21951219512195122	0.5853658536585366	1.0	0.32926829268292684	0.15853658536585366	0.4268292682926829	1.2560975609756098	0.6585365853658537	0.8170731707317073	0.3780487804878049	1.1097560975609757	0.926829268292683	0.5121951219512195	0.8780487804878049	0.7682926829268293	0.975609756097561	0.7317073170731707	0.2926829268292683	1.048780487804878	0.17073170731707318	1.475609756097561	2.317073170731707	0.5365853658536586	0.2804878048780488	0.573170731707317	9.512195121951219	0.2926829268292683	0.7682926829268293	0.5853658536585366
S4B13	251124_086	0.7692307692307693	0.38461538461538464	3.4358974358974357	30.076923076923077	0.5128205128205128	2.4871794871794872	0.6666666666666666	9.666666666666666	0.41025641025641024		0.3076923076923077	14.897435897435898	0.6923076923076923	0.46153846153846156	2.6153846153846154	20.23076923076923		0.46153846153846156		1.1282051282051282			0.5897435897435898	1.4102564102564104	1.0	0.7435897435897436		1.4102564102564104	7.461538461538462	0.9487179487179487	4.871794871794871	2.6153846153846154	2.2051282051282053	1.0512820512820513	2.923076923076923	0.9487179487179487	1.9743589743589745	2.5384615384615383	2.128205128205128	0.7948717948717948	3.5641025641025643		1.7435897435897436	12.153846153846153		1.0512820512820513	1.2820512820512822	52.15384615384615	1.4871794871794872	0.48717948717948717	0.9487179487179487
S4B25	251124_087	0.22857142857142856		2.357142857142857	20.34285714285714	1.4142857142857144	1.5285714285714285	3.2	4.185714285714286	0.21428571428571427	1.1	0.1	4.5285714285714285	1.4714285714285715	0.5285714285714286	3.642857142857143	9.9	0.8428571428571429			0.7714285714285715	0.4	0.5285714285714286	1.1	0.6857142857142857	1.0	0.32857142857142857		0.6857142857142857	2.3		0.6142857142857143	0.6571428571428571	0.5142857142857142	0.5428571428571428	0.4714285714285714		0.42857142857142855	0.5571428571428572	1.2285714285714286	0.6	0.8857142857142857	0.3	1.3428571428571427	4.9	0.6428571428571429		0.5285714285714286	19.2	0.5285714285714286	0.42857142857142855	0.6285714285714286
S4B6	251124_088	0.6	1.2	14.8	40.2	2.933333333333333	3.6666666666666665	2.2	14.866666666666667	0.8666666666666667	2.8666666666666667		8.466666666666667	2.466666666666667			12.4	5.6	1.0666666666666667			0.3333333333333333	1.9333333333333333	1.0666666666666667	0.7333333333333333	1.0		0.6	3.4	8.866666666666667	1.5333333333333334	2.1333333333333333	1.7333333333333334	5.466666666666667	4.733333333333333	11.0	0.7333333333333333	1.3333333333333333	1.0	1.2	1.6666666666666667	5.666666666666667	0.8666666666666667	3.2	9.266666666666667	4.8	2.933333333333333	1.0666666666666667	19.866666666666667	3.066666666666667	2.933333333333333	4.933333333333334
S5A5	251124_089	0.23404255319148937	0.19148936170212766	0.6808510638297872	14.319148936170214	0.2978723404255319	0.3829787234042553	0.6808510638297872	7.829787234042553	0.2553191489361702			8.191489361702128	0.6170212765957447	0.3191489361702128	0.3829787234042553	4.0	0.7872340425531915	1.0		0.2553191489361702		0.3617021276595745	1.0425531914893618	0.3191489361702128	1.0		0.19148936170212766		2.5106382978723403		1.3829787234042554	0.5106382978723404	0.7446808510638298	1.1702127659574468	1.2553191489361701		0.3404255319148936	0.7872340425531915	0.6595744680851063	0.3191489361702128	1.6382978723404256		0.9787234042553191	1.4680851063829787	1.425531914893617	1.0212765957446808	1.3617021276595744	14.340425531914894	1.425531914893617	0.8085106382978723	0.5319148936170213
S4B32	251124_090	0.36363636363636365		1.165289256198347	11.413223140495868	0.7024793388429752	0.5950413223140496		4.099173553719008	0.09090909090909091	0.09090909090909091		7.099173553719008	0.1652892561983471	0.19008264462809918	0.06611570247933884	0.35537190082644626	0.09917355371900827	0.4049586776859504				0.1652892561983471			1.0	0.18181818181818182		0.08264462809917356		0.2644628099173554	0.4132231404958678	0.5950413223140496	2.9338842975206614	1.1074380165289257	4.652892561983471	0.9338842975206612	1.7355371900826446	0.3884297520661157	1.1570247933884297	0.12396694214876033	1.2314049586776858	0.1652892561983471	0.9586776859504132	2.834710743801653	0.38016528925619836	0.1487603305785124		18.876033057851238	0.5289256198347108	0.5206611570247934	0.8181818181818182
S4B30	251124_091	0.32075471698113206	0.18867924528301888	4.490566037735849	31.0	2.169811320754717	0.22641509433962265	0.49056603773584906	11.339622641509434	0.2830188679245283		0.3584905660377358	5.679245283018868	0.6415094339622641	0.5094339622641509	1.0754716981132075	9.830188679245284	0.7924528301886793		1.1320754716981132	0.6226415094339622	0.24528301886792453		0.33962264150943394	0.22641509433962265	1.0	0.9245283018867925	0.4528301886792453	0.6037735849056604	5.981132075471698	0.20754716981132076	0.8301886792452831		0.22641509433962265	0.9056603773584906	2.056603773584906	0.6037735849056604	1.2830188679245282		1.9811320754716981	0.33962264150943394	0.9811320754716981	0.37735849056603776	1.509433962264151	2.3773584905660377	0.24528301886792453	0.8679245283018868	0.32075471698113206	34.679245283018865	1.9056603773584906	0.9433962264150944	2.9245283018867925
S5A20	251124_092	0.203125	0.140625	1.96875	14.546875	1.15625			4.9375	0.265625		0.21875	6.953125			0.484375	8.140625	0.8125	1.5625	0.109375	0.5	2.84375	0.25	0.59375		1.0	1.0	0.34375	0.96875	2.15625		0.28125	0.296875	1.15625	0.765625	0.84375	0.359375		0.71875			0.96875	0.21875	0.421875	1.6875	1.484375	0.78125	1.59375	42.140625	0.578125		0.75
