Sample,Rawname,Mass (g),Condition,[6287] L-valine 2 [9.151] Results,[700] ethanolamine [9.879] Results,[1004] phosphoric acid [9.966] Results,[791] DL-isoleucine 2 [10.225] Results,[145742] L-proline 2 [10.321] Results,[750] glycine [10.456] Results,[5951] L-serine 2 [11.174] Results,[6288] L-threonine 2 [11.464] Results,"[649] 5,6-dihydrouracil 2 [12.773] Results",[33032] L-glutamic acid 3 (dehydrated) [13.232] Results,[119] gamma-aminobutyric acid (GABA) [13.326] Results,[236] L-asparagine 1 [14.496] Results,[33032] L-glutamic acid 2 [14.398] Results,[236] L-asparagine 2 [14.984] Results,[827] ribitol [15.66] Results,[444212] trans-aconitic acid [15.842] Results,[738] L-glutamine 3 [16.092] Results,[328] DL-4-hydroxymandelic acid [16.126] Results,[8742] shikimic acid [16.433] Results,[6508] quinic acid [17.076] Results,[5984] fructose 1 [17.18] Results,[204] allantoin 1 [17.293] Results,[5984] fructose 2 [17.288] Results,[24749] D-glucose 1 [17.426] Results,[24749] D-glucose 2 [17.625] Results,[6057] tyrosine 2 [17.871] Results,[6251] D-mannitol [17.81] Results,[985] palmitic acid [18.846] Results,[899] N-acetyl-D-mannosamine 2 [19.339] Results,[892] myo-inositol [19.354] Results,[5281] stearic acid [20.675] Results,[6305] L-tryptophan 2 [20.466] Results,[5988] Sucrose [23.988] Results,[11333] lactulose 3 [24.431] Results,[7427] D-(+) trehalose [24.752] Results,[439451] galactinol 2 [26.479] Results
BLK,240722_SP_001,,,0.096385542,0.144578313,0.174698795,0.120481928,0.159638554,0.248493976,0.194277108,0.182228916,0.156626506,0.19126506,0.103915663,0.144578313,0.171686747,0.173192771,1,0.159638554,0.177710843,0.164156627,0.222891566,0.106927711,0.442771084,0.281626506,0.753012048,0.56626506,0.299698795,0.331325301,0.165662651,0.320783133,0.100903614,0.112951807,0.359939759,0.09939759,2.661144578,0.265060241,0.375,0.182228916
A2R,240722_SP_005,0.0307,1753,13.46187183,2.874135546,12.9669894,4.2131858,15.19096358,3.279299216,6.486491471,1.751775012,0.306685108,21.65062241,2.786076533,3.399538958,1.393545413,12.2648225,1,2.712955279,0.489257722,1.039834025,0.838727524,1.564684186,62.51009682,0.821576763,49.77630244,55.08215768,9.048409405,0.096726602,9.08077455,0.148639926,0.841124942,3.500507146,0.022222222,0.109727985,63.5396035,50.6274781,19.1801752,0.82351314
D2R,240722_SP_006,0.0319,No Ino.,4.113631867,1.044186507,1.841983776,1.177273627,9.979159797,1.365297105,1.892171734,0.723999209,0.06463101,8.450834268,2.505440876,0.946250742,0.474444371,3.034228055,1,1.005473851,0.093978764,0.846534327,0.596583789,1.694519554,54.54685748,0.413572512,49.77755062,53.52727033,15.58352569,0.078876212,15.59579239,0.055463958,0.151750973,1.969794895,0.015959902,0.06370771,45.52344523,34.05744246,12.69095825,0.478203522
A4R,240722_SP_007,0.0299,1753,2.711805556,1.173544338,1.043603098,0.541599893,3.453659188,0.955996261,1.263621795,0.388488248,0.081063034,5.756877671,1.903311966,1.0703125,0.242454594,1.271233974,1,0.63414797,0.044738248,0.662459936,0.477630876,1.214476496,42.39496528,0.207198184,31.32465278,42.24358974,7.78772703,0.49485844,1.516159188,0.034321581,0.106103098,1.781583868,0.010817308,0.027644231,45.99459135,24.34688835,9.838541667,0.518229167
D1R,240722_SP_008,0.0291,No Ino.,6.652487383,1.439581831,1.612328767,2.386589762,8.010598414,1.597188176,1.926532084,0.785291997,0.068565249,14.9408796,2.696322999,1.073756309,0.257966835,1.632083634,1,0.7703677,0.085508291,0.790266763,0.589185292,1.38666186,47.10785869,0.352631579,36.21586157,40.28781543,6.67555876,0.40223504,6.679163663,0.080389329,0.651982696,2.955082913,0.009516943,0.156452776,49.68810382,31.57649603,0.971449171,0.27591925
C4R,240722_SP_009,0.031,1607,2.174163995,1.248648649,0.834264773,0.480897847,2.048190563,0.899038021,0.420155749,0.246266606,0.066697206,4.862024737,1.469903802,0.594594595,0.16811727,0.678882272,1,0.4817224,,0.287952359,0.342006413,0.971415483,39.08153917,0.150801649,25.28703619,33.05451214,4.823820431,0.315895557,4.830874943,0.035272561,0.511681173,2.019239579,0.020155749,0.016307833,63.14961063,23.6618415,0.973431058,0.496839212
B3R,240722_SP_010,0.0311,1615,3.935366611,1.121110027,2.80565653,0.770813015,5.269261459,1.566716908,1.236279812,0.455182197,0.04663534,11.77223158,2.235304548,0.738097349,0.285043,1.034843514,1,1.051068357,0.050447735,0.542157993,0.546325029,1.281673907,66.56751485,0.322723646,59.42583562,65.2284777,14.63640394,0.721163224,14.64021633,0.085291249,0.174217572,1.51290008,0.020125898,0.038389928,61.04814257,27.01001862,10.56840145,0.411295328
C2R,240722_SP_011,0.0322,1607,3.353850325,1.094540853,0.496836587,1.08016992,4.501536515,0.55522415,0.840563991,0.317154736,0.060014461,3.418835864,1.051518438,0.544739696,0.126265365,0.257592191,1,0.274855387,,0.332067968,0.41983008,0.898228489,21.75840564,0.079266088,14.65148228,17.36388286,2.809201012,0.221348518,2.807393348,0.030187997,0.510574837,2.390093999,0.028651482,0.019703543,61.64253435,13.97270427,1.077187274,0.274313087
D3R,240722_SP_012,0.0331,No Ino.,0.876556444,0.421043952,,0.338830708,0.442071411,0.252989198,0.027954152,0.050218521,0.012616476,0.233363569,0.255792859,0.034798384,0.004782716,0.008905748,1,0.06992661,0.010967263,0.108435722,0.149583574,0.458316154,16.46309887,0.039910943,10.87878288,14.3876474,2.353343778,0.188422528,0.752288282,,0.248536324,0.928836481,0.022924054,0.004700256,47.45097716,6.363981199,1.403397378,0.115609796
C3R,240722_SP_013,0.0343,1607,3.449120246,1.82704938,12.11992216,0.784561745,3.701370307,1.376307468,1.526798022,0.441822752,0.137922647,10.16889646,1.866131517,1.748804022,0.805643396,4.645503933,1,0.504905538,0.064866618,1.099894592,0.535392848,1.574069569,53.91194357,0.339576745,40.60950296,48.1555988,8.002756831,0.090002432,8.032271142,0.078650774,0.840590286,3.974296603,0.063974702,0.091056515,55.92345739,45.74815536,0.998783751,0.80426498
B2R,240722_SP_014,0.0333,1615,3.441234731,1.271541763,0.581379993,1.060663585,2.691564873,0.609194454,0.410201387,0.299686365,0.05727963,1.746616045,1.28879168,0.489270386,0.110927699,0.243727303,1,0.170105645,0.014608782,0.487041928,0.380571146,0.766259492,28.10688346,0.085671839,18.50008254,22.85374711,3.549438759,0.284004622,0.398563882,0.021541763,0.512710466,1.702954771,0.016424563,0.008583691,56.58740508,21.56726642,1.258996368,0.175387917
B4R,240722_SP_015,0.0314,1615,6.3616246,1.768841095,1.072076075,2.383665126,6.657305368,1.449608958,1.484358336,0.714806257,0.06674369,9.569943121,2.161571276,1.032971916,0.375755421,0.96231781,1,0.66628155,0.0535016,0.649217917,0.503554924,1.143885531,57.1595272,0.276484181,41.22955919,50.76821898,8.778528262,0.478226093,8.768574476,0.056701031,0.686277995,3.014752933,0.021418415,0.103981514,61.14832919,36.05981159,1.19765375,0.419658727
