Sample,,,,,,,[8871] 2-hydroxypyridine [6.519] Results,[107689] L-(+) lactic acid [6.851] Results,[757] glycolic acid [7.049] Results,[5950] L-alanine 1 [7.4748] Results,[C8] Methyl Caprylate [7.812] Results,[971] oxalic acid [7.883] Results,[6287] L-valine 2 [9.151] Results,[C9] Methyl Pelargonate [9.248] Results,[5951] L-serine 1 [9.706] Results,[6106] L-leucine 2 [9.945] Results,[1004] phosphoric acid [9.966] Results,[791] DL-isoleucine 2 [10.225] Results,[145742] L-proline 2 [10.321] Results,[750] glycine [10.456] Results,[1110] succinic acid [10.509] Results,[C10] Methyl Caprate [10.647] Results,[439194] glyceric acid [10.735] Results,[760] glyoxylic acid [10.813] Results,[638129] citraconic acid [10.792] Results,[444972] fumaric acid [10.94] Results,[5951] L-serine 2 [11.174] Results,[5950] L-alanine 2 [11.182] Results,[439742] beta-cyano-L-alanine [11.288] Results,[6288] L-threonine 2 [11.464] Results,[239] Beta- alanine  1 [12.044] Results,[12647] L-homoserine 2 [12.359] Results,[92824] D-malic acid [12.794] Results,[C12] Methyl Laurate [13.250] Results,[5960] aspartic acid 2 [13.207] Results,[7405] L-pyroglutamic acid [13.218] Results,[119] gamma-aminobutyric acid (GABA) [13.326] Results,[5460407] threonic acid [13.652] Results,[51] alpha ketoglutaric acid [13.859] Results,[236] L-asparagine 1 [14.496] Results,[33032] L-glutamic acid 2 [14.398] Results,[236] L-asparagine 1 [14.496] Results,"[428] 1,3-diaminopropane 1 [14.708] Results",[236] L-asparagine 2 [14.984] Results,[C14] Methyl Myristate [15.597] Results,[827] ribitol [15.66] Results,[754] glycerol 1-phosphate [16.056] Results,[738] L-glutamine 3 [16.092] Results,[8742] shikimic acid [16.433] Results,[311] citric acid [16.615] Results,[94214] methyl-beta-D-galactopyranoside   [16.935] Results,[190] adenine 1 [17.066] Results,[6508] quinic acid [17.076] Results,[5984] fructose 2 [17.288] Results,[448388] D-allose 1 [17.278] Results,[C16] Methyl Palmitate [17.723] Results,[24749] D-glucose 1 [17.426] Results,[5962] L-lysine 2 [17.643] Results,[448388] D-allose 2 [17.521] Results,[6057] tyrosine 2 [17.871] Results,[6251] D-mannitol [17.81] Results,[128869] galactonic acid 2 [18.504] Results,[985] palmitic acid [18.846] Results,[204] allantoin 3 [19.167] Results,[445858] ferulic acid [19.312] Results,[101713] glucoheptonic acid 2 [19.615] Results,[892] myo-inositol [19.354] Results,[5281] stearic acid [20.675] Results,[C20] Methyl Eicosanoate [21.441] Results,[439958] D-glucose-6-phosphate 2 [21.558] Results,[5202] serotonin 1 [22.532] Results,[5202] serotonin 2 [22.767] Results,[C22] Methyl Docosanoate [23.082] Results,[60961] adenosine [23.825] Results,[5988] Sucrose [23.988] Results,[C24] Methyl Linocerate [24.603] Results,[6255] maltose 1 [24.702] Results,[16219560] lactobionic acid 1 [24.583] Results,[441422] beta-gentiobiose 2 [25.42] Results,[C26] Methyl Hexacosanoate [26.023] Results,[439451] galactinol 2 [26.479] Results,[C28] Methyl Octacosanoate [27.349] Results,[C30] Methyl Triacontanoate [28.723] Results
,,Name,Data File,Type,Level,Acq. Date-Time,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height
,!,Ref,251118_001.D,Sample,,11/18/2025 4:30 PM,2704,2559,799,66097,2657,259582,5919,14972,2006,7611,1029858,4418,7849,42868,4333,19016,7777,793,860,2073,57128,21346,3093,11280,1692,2320,82803,23860,130769,140668,3683,6476,2088,3169,167776,2175,3507,216828,22909,25800,10890,3674,4890,115519,4537,2074,19363,17934,9161,31544,39575,3330,7116,5714,16327,3634,25657,1210,3924,6688,53345,19704,14804,2770,1564,1449,14236,6828,1791891,12982,22735,5770,5036,10337,6838,7529,3391
,!,Ref20,251118_002.D,Sample,,11/18/2025 4:59 PM,87,,47,81,,1355,45,,369,57,60037,147,73,1218,403,1652,469,118,,73,111,907,,51,23,,4065,1759,159,2434,682,457,139,104,2575,127,257,2211,1650,1476,230,80,193,3538,366,130,864,760,744,1803,1888,128,482,116,951,295,810,45,83,521,2805,635,764,540,84,137,560,279,88043,542,715,275,308,364,590,484,282
!,!,Blank,251118_003.D,Sample,,11/18/2025 5:29 PM,245,627,82,149,6650,5215,523,9622,84,108,4401,877,87,1480,166,19717,164,540,253,358,370,54,192,59,93,94,130,25033,289,900,58,112,121,66,226,38,179,188,32936,239,627,98,106,315,226,497,141,230,358,45152,21227,283,3874,428,3882,82,23209,44,39,8394,167,16288,25523,3079,555,39,21998,44,17196,16753,626,317,240,14146,389,14450,5894
,!,S4A35,251118_004.D,Sample,,11/18/2025 5:58 PM,,,74,36365,11477,256658,2863,12331,3107,2018,1188685,1017,2222,29246,3709,21316,6400,1154,399,1862,47895,12946,4799,7705,1512,2897,145053,34057,210007,106591,2637,7964,2690,4792,150423,4499,4343,495640,45759,32348,14905,8236,4646,60160,4360,1981,11729,23325,19638,49847,28936,1900,4979,4078,31760,6701,25908,1684,2856,9738,70017,19018,28003,3585,3078,2356,22977,13445,1818327,19751,18366,1059,619,14870,3115,10473,6111
,!,S4A9,251118_005.D,Sample,,11/18/2025 6:28 PM,,205,85,14241,13624,23740,3821,7915,1204,5163,934490,2350,4144,14171,3893,13624,5767,983,384,1441,42554,12096,3873,11805,2543,1523,61405,25344,256814,111341,4193,9314,826,6985,270970,11657,4172,551768,36444,30304,15475,5002,4717,133409,5261,1725,17807,15026,15919,44303,29985,4112,4627,7536,27935,5280,23713,1451,5031,10929,98276,16827,20877,1596,3155,2446,20954,10484,1382549,19766,38208,3077,609,15340,5942,12687,5864
,!,S4A24,251118_006.D,Sample,,11/18/2025 6:57 PM,572,632,118,23738,10567,250276,3931,14030,1350,1580,980587,858,1883,19363,4799,21432,7135,1376,490,1807,63401,13972,2743,10587,882,2983,117759,26814,244384,146157,4737,8959,2586,4859,118885,5594,2853,299967,32575,26156,15937,20093,6815,48712,3203,3844,45977,27982,9684,40402,34429,1232,5042,1821,19552,5016,20383,605,2639,9258,95782,15457,21132,2670,3106,2717,21044,11944,1429794,19774,17106,769,399,16805,5847,12449,5621
,!,S4A39,251118_007.D,Sample,,11/18/2025 7:27 PM,,,58,24793,12075,186608,3475,12412,1222,2602,1014824,1781,2967,40862,2766,20421,4622,1032,455,1280,42065,13390,2617,9457,1780,2899,25513,26373,89594,103976,4154,5540,620,5235,227085,6174,2834,266632,37541,30400,6922,2857,5265,36123,3215,27547,19453,12351,9637,37934,12224,1952,2737,3353,16817,3526,25754,319,1828,9934,87359,14970,22170,3206,923,701,20517,4536,1416462,21619,13381,1729,498,15813,1934,11586,5810
,!,S2B2,251118_008.D,Sample,,11/18/2025 7:56 PM,,,105,31510,14329,14048,3009,9815,777,3655,1114740,1664,3342,20184,3437,16764,2053,1257,195,1228,29725,18371,1424,7334,1448,888,39657,23320,34982,72937,1574,3540,2417,3503,109522,3103,2480,111280,29803,21727,9300,3643,3336,37734,5343,577,10000,6430,11011,40114,13906,1582,2637,4999,19838,3749,26949,520,1380,9166,65564,18663,19859,1820,1199,2417,22189,5606,1223421,20079,9270,748,317,13701,1724,12663,5346
,!,S2B15,251118_009.D,Sample,,11/18/2025 8:26 PM,789,630,,142490,11560,189468,4996,11479,1295,10095,1220310,3493,11113,12997,4878,17547,2608,1202,282,4410,66130,75342,368,6290,1426,892,160996,24219,106811,221872,2305,5305,1828,1054,148295,160,2973,10080,29360,27042,6921,11765,2261,115010,3374,625,3344,38874,9185,37787,113615,2055,16073,7341,26250,3115,19185,403,375,7944,44825,12594,21259,2000,1078,1936,21405,4732,1399200,24207,16752,3733,351,15399,4987,10861,6167
