Sample,,,,,,,[757] glycolic acid [7.049] Results,[5950] L-alanine 1 [7.4748] Results,[C8] Methyl Caprylate [7.812] Results,[971] oxalic acid [7.883] Results,[C9] Methyl Pelargonate [9.248] Results,[1004] phosphoric acid [9.966] Results,[750] glycine [10.456] Results,[C10] Methyl Caprate [10.647] Results,[439194] glyceric acid [10.735] Results,[5951] L-serine 2 [11.174] Results,[5950] L-alanine 2 [11.182] Results,[439742] beta-cyano-L-alanine [11.288] Results,[6288] L-threonine 2 [11.464] Results,[239] Beta- alanine  1 [12.044] Results,[92824] D-malic acid [12.794] Results,"[649] 5,6-dihydrouracil 2 [12.773] Results",[338] salicylic acid [13.075] Results,[C12] Methyl Laurate [13.250] Results,[5960] aspartic acid 2 [13.207] Results,[7405] L-pyroglutamic acid [13.218] Results,[119] gamma-aminobutyric acid (GABA) [13.326] Results,[5460407] threonic acid [13.652] Results,[51] alpha ketoglutaric acid [13.859] Results,[236] L-asparagine 1 [14.496] Results,[33032] L-glutamic acid 2 [14.398] Results,[135] 4-hydroxybenzoic acid [14.505] Results,"[428] 1,3-diaminopropane 1 [14.708] Results",[236] L-asparagine 2 [14.984] Results,[C14] Methyl Myristate [15.597] Results,[827] ribitol [15.66] Results,[754] glycerol 1-phosphate [16.056] Results,[738] L-glutamine 3 [16.092] Results,[8742] shikimic acid [16.433] Results,[311] citric acid [16.615] Results,[835] dehydroascorbic acid  1 [16.863] Results,[94214] methyl-beta-D-galactopyranoside   [16.935] Results,[6508] quinic acid [17.076] Results,[5984] fructose 1 [17.288] Results,[5984] fructose 2 [17.288] Results,[C16] Methyl Palmitate [17.723] Results,[24749] D-glucose 1 [17.426] Results,[5962] L-lysine 2 [17.643] Results,[24749] D-glucose 2 [17.625] Results,[6057] tyrosine 2 [17.871] Results,[5780] D-sorbitol [17.898] Results,[128869] galactonic acid 2 [18.504] Results,[985] palmitic acid [18.846] Results,[445858] ferulic acid [19.312] Results,[439184] ribulose-5-phosphate 3 [19.603] Results,[892] myo-inositol [19.354] Results,[5281] stearic acid [20.675] Results,[C20] Methyl Eicosanoate [21.441] Results,[439958] D-glucose-6-phosphate 2 [21.558] Results,[C22] Methyl Docosanoate [23.082] Results,[60961] adenosine [23.825] Results,[5988] Sucrose [23.988] Results,[C24] Methyl Linocerate [24.603] Results,[7427] D-(+) trehalose [24.752] Results,[6255] maltose  2 [24.915] Results,[C26] Methyl Hexacosanoate [26.023] Results,[439451] galactinol 2 [26.479] Results,[C28] Methyl Octacosanoate [27.349] Results,[C30] Methyl Triacontanoate [28.723] Results
,,Name,Data File,Type,Level,Acq. Date-Time,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height
,!,Ref,251124_001.D,Sample,,11/24/2025 4:04 PM,260,5513,3359,180923,4345,745120,33954,6326,1367,10549,4353,6517,2310,575,42429,50678,816,9506,32007,38351,912,1729,790,601,39300,711,1172,36563,11222,8037,4089,1450,1566,39215,572,2203,5704,4419,4157,12800,16723,775,1882,1540,5423,1081,7623,813,4008,28824,4288,6183,1291,5753,2137,1408486,3474,4811,651,3302,1448,1414,355
!,!,Blank,251124_002.D,Sample,,11/24/2025 4:33 PM,116,109,1832,4368,3375,7624,452,4499,83,119,257,107,46,63,173,285,63,5225,140,479,48,31,18,36,28,273,178,62,7506,142,1282,69,34,359,16,37,161,168,134,7108,235,40,229,86,85,52,3791,113,2044,190,2094,3667,97,3672,37,2023,2822,234,313,1836,113,815,346
,!,S5A29,251124_003.D,Sample,,11/24/2025 5:03 PM,202,13123,1539,100034,2800,641822,12388,4596,1079,15755,3903,3322,1474,383,24574,15097,374,4823,14661,14538,308,1180,346,311,22059,343,812,16835,5952,4984,1950,1781,360,38626,62,1182,646,2256,1383,6891,10503,669,1931,1812,3123,943,4196,579,2522,13297,2464,3632,912,3456,1983,1209487,2723,3078,3095,1875,3603,1030,313
,!,S5A9,251124_004.D,Sample,,11/24/2025 5:32 PM,229,2573,2306,97933,2774,670251,4430,4001,872,8725,2693,2085,1813,252,20306,12461,207,4663,25226,9451,504,1079,253,357,15112,363,478,17549,5746,4699,1442,662,494,26621,144,1129,1554,1272,1132,6800,2638,389,628,641,2108,1148,5693,215,2508,11514,3819,2995,911,2313,1243,771182,2304,2101,578,1771,827,1186,426
,!,S4B27,251124_005.D,Sample,,11/24/2025 6:01 PM,276,947,2351,490,1417,656619,1958,2477,1029,8997,2787,4279,1293,394,5596,25817,280,3632,13334,14303,667,742,224,1060,33530,202,948,40967,6139,3603,2125,617,1114,6758,510,1415,3057,1480,953,5558,2619,650,499,1091,2776,854,3892,316,2628,14504,1935,2715,714,3686,876,805626,2261,2574,441,1531,615,1345,404
,!,S4B13,251124_006.D,Sample,,11/24/2025 6:31 PM,,14714,1259,85471,2263,397090,9562,3453,1664,9904,5364,3589,2511,580,39820,23244,367,4428,6289,19327,426,1218,456,839,27351,257,1100,31887,5398,4191,2083,2187,2422,30614,414,973,8279,2176,1866,6839,6623,619,1162,1023,2577,768,4073,444,3167,17023,2681,3283,641,3702,1207,1508381,2713,3236,3235,1803,282,831,480
,!,S4B25,251124_007.D,Sample,,11/24/2025 7:00 PM,128,2100,2418,58494,1710,462762,2216,2626,727,10049,3317,3019,1880,223,18619,15368,293,4087,14203,14120,791,930,748,551,15651,152,894,19779,4878,3641,2230,2378,1471,6300,303,1671,4870,1439,928,6217,2793,250,563,418,2833,705,4402,488,3043,14111,2302,2812,257,2838,1387,1110213,3036,2235,529,1705,1102,1180,375
,!,S4B6,251124_008.D,Sample,,11/24/2025 7:30 PM,103,4507,1425,30276,1443,92406,780,2436,604,1969,1136,1914,519,152,7084,12704,338,3191,3239,4990,6104,430,258,538,6122,187,394,12921,5071,3765,1028,548,340,9087,130,560,474,9317,6373,5730,8220,581,1470,625,1217,349,3617,121,1697,5713,2027,2440,446,3110,956,112457,2310,1127,370,1595,323,777,207
,!,S5A5,251124_009.D,Sample,,11/24/2025 7:59 PM,130,16464,1067,65263,2016,271745,2496,2575,908,4667,3773,1138,1065,202,26479,8568,281,4232,5127,10383,353,988,245,209,9230,183,789,7530,3978,2921,1357,827,302,8777,85,900,670,2921,1868,5258,4288,726,925,584,2056,737,2844,277,1762,6635,1586,2931,314,2471,1147,825269,2993,1893,254,1331,236,820,396
,!,S4B32,251124_010.D,Sample,,11/24/2025 8:28 PM,122,16343,1731,60360,1989,300404,2044,2913,1439,13023,5301,1197,1791,379,53276,10815,558,3723,6607,14826,657,543,1586,508,23052,399,827,10154,3513,4683,2018,953,445,154440,106,1593,761,10590,6947,885,53461,1219,5098,1326,3866,583,3619,414,1887,12236,2082,2749,475,2598,2256,1342639,2884,4257,399,1576,10874,1176,518
,!,S4B30,251124_011.D,Sample,,11/24/2025 8:58 PM,149,9995,2247,1086,1199,440732,3220,1987,982,13091,5803,2021,1328,426,25752,13586,380,2886,6938,17752,469,508,895,539,23711,224,800,15813,4085,4409,1810,1416,507,60041,104,1889,626,4672,2927,5806,16553,1098,2484,1412,2617,511,3428,453,2175,12711,1812,2921,511,2868,1708,1770864,2094,3261,3296,1491,8053,996,272
,!,S5A20,251124_012.D,Sample,,11/24/2025 9:27 PM,262,5828,1638,,1098,263225,4461,2039,947,7408,2900,1447,890,287,25206,11559,322,2714,7674,12360,337,1060,243,462,19264,271,592,12917,4133,3106,1220,1197,736,19249,85,930,1647,5109,3479,5065,6013,535,1204,2139,1990,847,2772,241,2092,10902,2117,2993,922,2976,1510,1751636,3509,2214,521,1726,810,1210,315
,!,S4B14,251124_013.D,Sample,,11/24/2025 9:57 PM,158,1050,1897,39347,1601,234322,1203,2462,1142,4138,1531,983,1435,250,8001,8356,337,2816,11623,15581,1104,876,148,566,14253,209,573,5559,4429,3577,1488,270,729,9445,132,801,2486,2047,1405,6323,2955,438,463,551,1857,634,4693,364,2413,11814,2130,2959,773,2908,854,769965,2085,3114,837,1257,286,997,260
,!,S5A34,251124_014.D,Sample,,11/24/2025 10:26 PM,199,2003,1682,1148,1645,330107,1799,1680,932,5361,1907,1830,751,238,14075,21796,370,2696,14713,9534,979,727,104,666,15294,299,686,20719,4578,3293,1800,521,753,12024,118,1177,2313,1987,1512,5214,3716,577,820,711,1529,855,3093,513,2226,13386,1729,2543,868,2602,1125,1254923,2462,2682,748,1301,780,872,314
,!,S5A6,251124_015.D,Sample,,11/24/2025 10:56 PM,212,9467,1533,40769,1637,110966,1314,2629,648,3418,4317,708,659,142,15484,6686,189,4344,7209,11256,248,828,356,345,11511,235,341,4476,3222,2446,1253,448,317,9397,65,682,640,1150,783,5127,2422,421,427,645,1976,496,2655,138,1833,7762,2488,2572,275,2861,904,643464,1951,1772,1778,1592,439,936,259
,!,S5A17,251124_016.D,Sample,,11/24/2025 11:25 PM,225,7454,852,51818,1412,70465,6451,2795,850,4397,2896,917,829,267,17139,9583,261,3077,7139,15123,216,912,211,419,13214,228,650,6443,4294,3253,1445,1072,706,6979,369,962,2842,1678,1317,5124,3454,346,757,1595,2063,512,3392,469,2688,14816,2609,2799,473,2750,1163,1420274,2649,2518,225,1075,478,799,395
,!,S5A33,251124_017.D,Sample,,11/25/2025 9:34 AM,135,8447,3219,39955,2614,536047,3195,4473,531,10977,11255,2496,1163,349,31013,35035,398,5986,10507,31241,282,1001,545,1762,18561,400,674,10794,7516,6894,1355,794,399,29356,354,904,886,5922,4954,8132,47402,452,5066,1466,2518,808,4128,509,2044,10963,2463,3192,1009,3764,1211,1375113,3519,8401,8453,2115,4568,1073,351
,!,S4B9,251124_019.D,Sample,,11/25/2025 10:12 AM,177,1680,2133,84055,3082,245629,3128,3245,874,4422,3179,1081,1273,265,7618,15008,182,4439,17840,18621,235,552,285,758,8615,301,722,4576,5915,4264,1678,213,679,11957,679,624,1697,741,705,5548,2932,370,417,444,2051,699,3752,194,1726,14202,2231,2806,1387,2152,453,766779,1971,2378,505,1212,282,535,145
,!,S4B24,251124_020.D,Sample,,11/25/2025 10:41 AM,92,324,2229,95875,2159,296202,2425,2578,817,6428,4185,678,1359,134,28790,9696,287,4116,10922,16575,877,1051,539,674,4989,338,927,2448,4819,3561,1285,685,843,7446,358,825,4550,1685,1284,5782,4420,183,730,361,1846,842,3034,173,2118,11095,2167,3255,198,2484,620,809644,2204,1514,364,1111,688,794,251
,!,S4B20,251124_021.D,Sample,,11/25/2025 11:11 AM,122,6048,1636,64307,2308,321981,8018,2570,688,7200,7218,1360,1253,331,27175,32568,402,3780,7761,31238,417,818,284,1530,13472,195,730,7982,4555,2885,1312,473,765,18172,371,684,1867,2933,2210,6203,3206,396,594,1639,2602,700,2551,337,2147,12505,1782,2321,435,2110,1076,1516098,2596,2103,298,1456,428,702,282
,!,S5A3,251124_022.D,Sample,,11/25/2025 11:40 AM,660,673,2369,29384,1260,100346,1382,2961,847,1002,4031,195,204,99,12260,6174,251,3530,4672,15394,256,591,221,472,2201,610,184,1676,4289,3044,918,258,994,3026,998,761,1091,1760,1370,6591,9046,655,1743,329,1185,417,5134,246,2082,7062,2803,3260,441,3208,984,998122,2809,1555,1585,1560,458,1118,557
,!,S5A21,251124_023.D,Sample,,11/25/2025 12:09 PM,128,4042,1014,63429,1957,403766,5322,2072,619,7124,4833,921,857,236,18036,16132,182,3072,7159,20787,467,966,208,757,9781,292,423,4639,3177,2092,773,391,359,6671,61,612,671,2402,1785,4888,2881,255,529,923,1205,457,2624,127,1465,7233,1643,2258,328,1887,1060,1444232,1932,1188,244,1176,281,601,158
,!,S4B3,251124_024.D,Sample,,11/25/2025 12:39 PM,97,5460,1486,28573,1247,142931,3448,2418,473,4318,5583,618,687,285,15446,11161,242,3333,4026,12117,217,463,165,858,3578,206,458,2793,2957,2424,821,221,534,5900,294,727,1057,1687,1674,4231,5361,240,802,784,1144,341,2814,270,1224,8725,2311,2035,292,2280,638,1479940,1959,1938,1943,869,237,631,254
,!,S4B22,251124_025.D,Sample,,11/25/2025 1:08 PM,106,487,1611,874,830,123417,631,1895,583,1808,1210,565,475,159,3327,9219,280,2109,6744,10632,157,315,105,553,2675,86,495,2234,3406,2844,970,161,447,3701,220,517,895,462,317,3152,1164,220,257,368,1073,420,2886,135,1647,8568,1306,2079,362,2043,361,544905,1192,1160,272,748,189,567,178
,!,S5A38,251124_026.D,Sample,,11/25/2025 1:38 PM,176,1204,1307,28639,1324,234335,890,1638,587,1804,1834,260,878,274,6862,5846,197,2952,4326,22694,414,564,147,665,4848,334,352,941,2841,2011,841,227,1103,4186,62,531,2298,499,644,3588,1531,321,329,277,1076,415,2469,194,1095,2869,1487,2159,428,1778,466,852862,1372,1227,262,1099,279,746,429
,!,S5A26,251124_027.D,Sample,,11/25/2025 2:07 PM,44,1760,1288,32767,1131,214501,1666,1647,846,3275,2577,455,603,167,20247,9652,231,2702,7182,18945,607,533,155,605,6888,115,384,2833,3467,1916,718,194,1139,12752,82,646,2190,1276,830,3977,2475,507,559,368,1326,411,2237,78,1247,4155,1171,1627,827,2060,545,1288197,1666,1159,282,922,372,903,241
,!,S5A18,251124_028.D,Sample,,11/25/2025 2:37 PM,216,219,1874,9745,1204,17542,1359,2364,1109,876,1413,120,107,118,5376,3291,160,3051,2183,15233,255,371,95,170,1490,547,191,757,4005,2230,503,229,898,2022,904,667,2021,1477,1134,5124,8850,197,1059,647,431,237,4043,321,1345,4071,2261,3329,183,2592,504,855305,2352,1673,1691,2056,306,1139,424
