Root Split Samples	Rawname	Mass (g)	Condition
BLK	240722_SP_001		
A2R	240722_SP_005	0.0307	1753
D2R	240722_SP_006	0.0319	No Ino.
A4R	240722_SP_007	0.0299	1753
D1R	240722_SP_008	0.0291	No Ino.
C4R	240722_SP_009	0.031	1607
B3R	240722_SP_010	0.0311	1615
C2R	240722_SP_011	0.0322	1607
D3R	240722_SP_012	0.0331	No Ino.
C3R	240722_SP_013	0.0343	1607
B2R	240722_SP_014	0.0333	1615
B4R	240722_SP_015	0.0314	1615
A3R	240722_SP_016	0.0309	1753
A1R	240722_SP_017	0.0282	1753
B1R	240722_SP_018	0.0276	1615
C5R	240722_SP_019	0.0323	1607
D4R	240722_SP_020	0.0302	No Ino.
C1R	240722_SP_021	0.0323	1607
