Sample,[6287] L-valine 2 [9.151] Results,[700] ethanolamine [9.879] Results,[1004] phosphoric acid [9.966] Results,[791] DL-isoleucine 2 [10.225] Results,[145742] L-proline 2 [10.321] Results,[750] glycine [10.456] Results,[5951] L-serine 2 [11.174] Results,[6288] L-threonine 2 [11.464] Results,"[649] 5,6-dihydrouracil 2 [12.773] Results",[33032] L-glutamic acid 3 (dehydrated) [13.232] Results,[119] gamma-aminobutyric acid (GABA) [13.326] Results,[236] L-asparagine 1 [14.496] Results,[33032] L-glutamic acid 2 [14.398] Results,[236] L-asparagine 2 [14.984] Results,[827] ribitol [15.66] Results,[444212] trans-aconitic acid [15.842] Results,[738] L-glutamine 3 [16.092] Results,[328] DL-4-hydroxymandelic acid [16.126] Results,[8742] shikimic acid [16.433] Results,[6508] quinic acid [17.076] Results,[5984] fructose 1 [17.18] Results,[204] allantoin 1 [17.293] Results,[5984] fructose 2 [17.288] Results,[24749] D-glucose 1 [17.426] Results,[24749] D-glucose 2 [17.625] Results,[6057] tyrosine 2 [17.871] Results,[6251] D-mannitol [17.81] Results,[985] palmitic acid [18.846] Results,[899] N-acetyl-D-mannosamine 2 [19.339] Results,[892] myo-inositol [19.354] Results,[5281] stearic acid [20.675] Results,[6305] L-tryptophan 2 [20.466] Results,[5988] Sucrose [23.988] Results,[11333] lactulose 3 [24.431] Results,[7427] D-(+) trehalose [24.752] Results,[439451] galactinol 2 [26.479] Results
BLK+,64,96,116,80,106,165,129,121,104,127,69,96,114,115,664,106,118,109,148,71,294,187,500,376,199,220,110,213,67,75,239,66,1767,176,249,121
BLK-,35,38,59,30,49,,153,,85,70,53,50,,60,224,,68,,155,100,155,127,225,75,63,,72,140,100,43,158,54,,177,,162
AC,,1058,49,180,65,295,142,153,59,67,339,69,128,,10763,458,,91,240,76,10359,,6069,20042,3580,329,3705,140,1545,5010,263,60,16939,198,430,2117
MM,63474,17862,29376,17986,89047,18195,18339,7078,305,122211,24866,10903,2736,6134,12555,11324,333,7828,6979,16007,656203,2462,489187,605262,96972,967,97247,566,8168,31356,210,643,688434,320966,9094,4808
A2R,145994,31170,140627,45692,164746,35564,70346,18998,3326,234801,30215,36868,15113,133012,10845,29422,5306,11277,9096,16969,677922,8910,539824,597366,98130,1049,98481,1612,9122,37963,241,1190,689087,549055,208009,8931
D2R,62375,15833,27930,17851,151314,20702,28691,10978,980,128140,37990,14348,7194,46008,15163,15246,1425,12836,9046,25694,827094,6271,754777,811634,236293,1196,236479,841,2301,29868,242,966,690272,516413,192433,7251
A4R,40612,17575,15629,8111,51722,14317,18924,5818,1214,86215,28504,16029,3631,19038,14976,9497,670,9921,7153,18188,634907,3103,469118,632640,116629,7411,22706,514,1589,26681,162,414,688815,364619,147342,7761
D1R,92270,19967,22363,33102,111107,22153,26721,10892,951,207230,37398,14893,3578,22637,13870,10685,1186,10961,8172,19233,653386,4891,502314,558792,92590,5579,92640,1115,9043,40987,132,2170,689174,437966,13474,3827
C4R,23731,13629,9106,5249,22356,9813,4586,2688,728,53069,16044,6490,1835,7410,10915,5258,,3143,3733,10603,426575,1646,276008,360790,52652,3448,52729,385,5585,22040,220,178,689278,258269,10625,5423
B3R,44387,12645,31645,8694,59432,17671,13944,5134,526,132779,25212,8325,3215,11672,11279,11855,569,6115,6162,14456,750815,3640,670264,735712,165084,8134,165127,962,1965,17064,227,433,688562,304646,119201,4639
