Samples	Rawname
Blank	251118_003
S4A35	251118_004
S4A9	251118_005
S4A24	251118_006
S4A39	251118_007
S2B2	251118_008
S2B15	251118_009
S4A3	251118_010
S2B11	251118_011
S4A4	251118_012
S2B19	251118_013
S2B16	251118_014
S2B28	251118_015
S4A33	251118_016
S2B26	251118_017
S2B8	251118_018
S2B7	251118_019
S4A12	251118_020
S2B10	251118_021
S2B27	251118_022
S4A10	251118_023
S4A16	251118_024
S2B13	251118_025
S4A29	251118_026
S2B1	251118_027
S4A26	251118_028
S2B30	251118_029
S2B23	251118_030
S4A1	251118_031
S4A13	251118_032
S4A11	251118_033
S4A20	251118_034
S4A5	251118_035
S4A23	251118_036
S2B14	251118_037
S2B5	251118_038
S4A17	251118_039
S4A7	251118_040
S2B20	251118_041
S4A30	251118_042
S2B3	251118_043
S2B35	251118_044
S2B31	251118_045
S4A8	251118_046
S4A27	251118_047
S2B12	251118_048
S4A18	251118_049
S4A25	251118_050
S4A28	251118_051
S4A6	251118_052
S4A38	251118_053
S2B33	251118_054
S2B38	251118_055
S4A19	251118_056
S2B36	251118_057
S4A21	251118_058
S4A31	251118_059
S2B25	251118_060
S4A14	251118_061
S4A15	251118_062
S4A36	251118_063
S2B21	251118_064
S2B18	251118_065
S4A37	251118_066
S2B24	251118_067
S2B6	251118_068
S4A22	251118_069
S2B29	251118_070
S2B37	251118_071
S4A34	251118_072
S2B22	251118_073
S2B32	251118_074
S2B34	251118_075
S2B4	251118_076
S2B39	251118_077
S2B9	251118_078
S4A2	251118_079
S2B17	251118_080
S4A32	251118_081
