Sample	Rawname
Blank	251124_002
S5A29	251124_003
S5A9	251124_004
S4B27	251124_005
S4B13	251124_006
S4B25	251124_007
S4B6	251124_008
S5A5	251124_009
S4B32	251124_010
S4B30	251124_011
S5A20	251124_012
S4B14	251124_013
S5A34	251124_014
S5A6	251124_015
S5A17	251124_016
S5A33	251124_017
S4B9	251124_019
S4B24	251124_020
S4B20	251124_021
S5A3	251124_022
S5A21	251124_023
S4B3	251124_024
S4B22	251124_025
S5A38	251124_026
S5A26	251124_027
S5A18	251124_028
S4B33	251124_029
S4B34	251124_030
S5A28	251124_031
S4B11	251124_032
S5A27	251124_033
S5A39	251124_034
S5A37	251124_035
S4B29	251124_036
S5A35	251124_037
S4B26	251124_038
S5A15	251124_039
S4B12	251124_040
S4B2	251124_041
S4B18	251124_042
S5A23	251124_043
S5A13	251124_044
S4B19	251124_045
S5A7	251124_046
S5A22	251124_047
S5A12	251124_048
S4B37	251124_049
S4B4	251124_050
S5A31	251124_051
S5A30	251124_052
S5A24	251124_053
S4B16	251124_054
S4B39	251124_055
S5A1	251124_056
S5A10	251124_057
S5A25	251124_058
S5A19	251124_059
S5A32	251124_060
S4B7	251124_061
S5A4	251124_062
S4B23	251124_063
S4B10	251124_064
S5A11	251124_065
S4B1	251124_066
S4B31	251124_067
S5A36	251124_068
S4B5	251124_069
S5A14	251124_070
S4B21	251124_071
S4B38	251124_072
S5A8	251124_073
S4B17	251124_074
S5A2	251124_075
S4B35	251124_076
S5A16	251124_077
S4B15	251124_078
S4B36	251124_079
S4B28	251124_080
