Sample	Rawname
Blank	251124_082
S5A29	251124_083
S5A9	251124_084
S4B27	251124_085
S4B13	251124_086
S4B25	251124_087
S4B6	251124_088
S5A5	251124_089
S4B32	251124_090
S4B30	251124_091
S5A20	251124_092
S4B14	251124_093
S5A34	251124_094
S5A6	251124_095
S5A17	251124_096
S5A33	251124_097
S4B8	251124_098
S4B9	251124_099
S4B24	251124_100
S4B20	251124_101
S5A3	251124_102
S5A21	251124_103
S4B3	251124_104
S4B22	251124_105
S5A38	251124_106
S5A26	251124_107
S5A18	251124_108
S4B33	251124_109
S4B34	251124_110
S5A28	251124_111
S4B11	251124_112
S5A27	251124_113
S5A39	251124_114
S5A37	251124_115
S4B29	251124_116
S5A35	251124_117
S4B26	251124_118
S5A15	251124_119
S4B12	251124_120
S4B2	251124_121
S4B18	251124_122
S5A23	251124_123
S5A13	251124_124
S4B19	251124_125
S5A7	251124_126
S5A22	251124_127
S5A12	251124_128
S4B37	251124_129
S4B4	251124_130
S5A31	251124_131
S5A30	251124_132
S5A24	251124_133
S4B16	251124_134
S4B39	251124_135
S5A1	251124_136
S5A10	251124_137
S5A25	251124_138
S5A19	251124_139
S5A32	251124_140
S4B7	251124_141
S5A4	251124_142
S4B23	251124_143
S4B10	251124_144
S5A11	251124_145
S4B1	251124_146
S4B31	251124_147
S5A36	251124_148
S4B5	251124_149
S5A14	251124_150
S4B21	251124_151
S4B38	251124_152
S5A8	251124_153
S4B17	251124_154
S5A2	251124_155
S4B35	251124_156
S5A16	251124_157
S4B15	251124_158
S4B36	251124_159
S4B28	251124_160
